PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布日期,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,REVENUE_营业收入,N_INT_INCOME_利息净收入,INT_INCOME_利息收入,INT_EXP_利息支出,N_COMMIS_INCOME_手续费及佣金净收入,COMMIS_INCOME_手续费及佣金收入,COMMIS_EXP_手续费及佣金支出,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,F_VALUE_CHG_GAIN_公允价值变动收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_OPER_REV_其他业务收入,SPEC_OR_营业收入特殊项目,AOR_营业收入调整项目,COGS_营业支出,BIZ_TAX_SURCHG_营业税金及附加,GENL_ADMIN_EXP_业务及管理费,ASSETS_IMPAIR_LOSS_资产减值损失,OTH_OPER_COSTS_其他业务成本,SPEC_OP_营业支出特殊项目,AOP_营业支出调整项目,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,AE_FFECT_TP_影响利润总额的调整金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额
17747,002839,XSHE,2018-04-24,2018-03-31,2018-03-31,Q1,3,1,634794256.75,584611820.92,1058786291.89,474174470.97,25641527.60,30178736.94,4537209.34,24579239.04,19500000.00,-1459952.10,631067.96,,,790553.33,,,386991537.91,4206559.90,238665695.53,144119282.48,,,,,,247802718.84,2852835.71,242502.29,,250413052.26,21368475.02,,,229044577.24,228421710.23,,622867.01,,,.1300,.1300,152013991.24,,,381058568.48,380435701.47,622867.01,,
2149,601169,XSHG,2013-04-26,2013-03-31,2012-03-31,Q1,3,1,6302155000.00,5526473000.00,12906467000.00,7379994000.00,617907000.00,665062000.00,47155000.00,88394000.00,22662000.00,18022000.00,20833000.00,,,30526000.00,,,2008676000.00,459670000.00,1073087000.00,472994000.00,2925000.00,,,,,4293479000.00,1304000.00,2179000.00,,4292604000.00,920145000.00,,,3372459000.00,3371344000.00,,1115000.00,,,.4600,.4600,49547000.00,,,3422006000.00,3420891000.00,1115000.00,,
2149,601169,XSHG,2010-10-30,2010-09-30,2009-09-30,Q3,9,1,8585881000.00,7951230000.00,12783846000.00,4832616000.00,490753000.00,570141000.00,79388000.00,274519000.00,36467000.00,-300350000.00,100472000.00,,,69257000.00,,,2983103000.00,665130000.00,1956481000.00,352714000.00,8778000.00,,,,,5602778000.00,10860000.00,16498000.00,,5597140000.00,1205309000.00,,,4391831000.00,4393143000.00,,-1312000.00,,,.7100,.7100,-639612000.00,,,3752219000.00,3753531000.00,-1312000.00,,
2149,601169,XSHG,2016-08-19,2015-12-31,2014-12-31,A,12,1,36878000000.00,31285000000.00,73255000000.00,41970000000.00,4780000000.00,5171000000.00,391000000.00,227000000.00,129000000.00,230000000.00,186000000.00,,,170000000.00,.00,,17057000000.00,2635000000.00,9091000000.00,5313000000.00,18000000.00,.00,,,,19821000000.00,64000000.00,35000000.00,,19850000000.00,4204000000.00,,,15646000000.00,15623000000.00,,23000000.00,,,1.0300,1.0300,3751000000.00,,,19397000000.00,19397000000.00,,,
2149,601169,XSHG,2016-08-19,2015-12-31,2013-12-31,A,12,1,30659000000.00,26285000000.00,57881000000.00,31596000000.00,3951000000.00,4475000000.00,524000000.00,271000000.00,32000000.00,-144000000.00,150000000.00,,,146000000.00,.00,,13896000000.00,2219000000.00,7822000000.00,3835000000.00,20000000.00,.00,,,,16763000000.00,76000000.00,24000000.00,,16815000000.00,3356000000.00,,,13459000000.00,13454000000.00,,5000000.00,,,.8800,.8800,-3436000000.00,,,10023000000.00,10023000000.00,,,
2149,601169,XSHG,2012-10-31,2012-09-30,2011-09-30,Q3,9,1,15008708000.00,13514221000.00,26183238000.00,12669017000.00,1262281000.00,1388839000.00,126558000.00,148695000.00,1208000.00,-41582000.00,46787000.00,,,78306000.00,,,5019552000.00,1064726000.00,3495818000.00,450232000.00,8776000.00,,,,,9989156000.00,6994000.00,7734000.00,,9988416000.00,2215191000.00,,,7773225000.00,7773483000.00,,-258000.00,,,1.0400,1.0400,-797118000.00,,,6976107000.00,6976365000.00,-258000.00,,
2149,601169,XSHG,2014-08-28,2014-06-30,2013-06-30,S1,6,1,15734000000.00,12983000000.00,27132000000.00,14149000000.00,2438000000.00,2697000000.00,259000000.00,283000000.00,32000000.00,-23000000.00,13000000.00,,,40000000.00,,,5966000000.00,1097000000.00,3099000000.00,1761000000.00,9000000.00,,,,,9768000000.00,40000000.00,11000000.00,,9797000000.00,1992000000.00,,,7805000000.00,7801000000.00,,4000000.00,,,.7400,.7400,54000000.00,,,7859000000.00,7855000000.00,4000000.00,,
2149,601169,XSHG,2016-10-31,2016-09-30,2015-09-30,Q3,9,1,32974000000.00,26132000000.00,58195000000.00,32063000000.00,5775000000.00,6095000000.00,320000000.00,617000000.00,163000000.00,63000000.00,202000000.00,,,185000000.00,,,15127000000.00,2140000000.00,7602000000.00,5372000000.00,13000000.00,,,,,17847000000.00,35000000.00,37000000.00,,17845000000.00,3668000000.00,,,14177000000.00,14136000000.00,,41000000.00,,,.9300,.9300,447000000.00,,,14624000000.00,14584000000.00,40000000.00,,
2149,601169,XSHG,2015-10-30,2015-09-30,2014-09-30,Q3,9,1,27800000000.00,22871000000.00,54512000000.00,31641000000.00,4218000000.00,4488000000.00,270000000.00,268000000.00,96000000.00,222000000.00,119000000.00,,,102000000.00,,,11698000000.00,1979000000.00,6529000000.00,3175000000.00,15000000.00,,,,,16102000000.00,30000000.00,36000000.00,,16096000000.00,3491000000.00,,,12605000000.00,12592000000.00,,13000000.00,,,.9900,.9900,2728000000.00,,,15333000000.00,15320000000.00,13000000.00,,
2149,601169,XSHG,2017-04-26,2016-12-31,2015-12-31,A,12,1,44081000000.00,35785000000.00,79112000000.00,43327000000.00,7120000000.00,7588000000.00,468000000.00,713000000.00,192000000.00,143000000.00,227000000.00,,,93000000.00,,,23045000000.00,2806000000.00,11014000000.00,9208000000.00,17000000.00,,,,,21036000000.00,105000000.00,56000000.00,,21085000000.00,4202000000.00,,,16883000000.00,16839000000.00,,44000000.00,,,1.1100,1.1100,1579000000.00,,,18462000000.00,18416000000.00,46000000.00,,
2149,601169,XSHG,2017-04-26,2017-03-31,2016-03-31,Q1,3,1,12702000000.00,9375000000.00,18850000000.00,9475000000.00,3071000000.00,3159000000.00,88000000.00,249000000.00,48000000.00,-19000000.00,14000000.00,,,12000000.00,,,6080000000.00,741000000.00,2740000000.00,2593000000.00,6000000.00,,,,,6622000000.00,11000000.00,7000000.00,,6626000000.00,1332000000.00,,,5294000000.00,5275000000.00,,19000000.00,,,.3500,.3500,-106000000.00,,,5188000000.00,5167000000.00,21000000.00,,
2149,601169,XSHG,2015-04-28,2015-03-31,2014-03-31,Q1,3,1,8831000000.00,6706000000.00,17558000000.00,10852000000.00,1732000000.00,1811000000.00,79000000.00,148000000.00,42000000.00,125000000.00,69000000.00,,,51000000.00,,,3116000000.00,642000000.00,1521000000.00,948000000.00,5000000.00,,,,,5715000000.00,17000000.00,2000000.00,,5730000000.00,1204000000.00,,,4526000000.00,4522000000.00,,4000000.00,,,.4300,.4300,831000000.00,,,5357000000.00,5353000000.00,4000000.00,,
2149,601169,XSHG,2011-04-30,2011-03-31,2010-03-31,Q1,3,1,3559396000.00,3231188000.00,5061769000.00,1830581000.00,223721000.00,252176000.00,28455000.00,22986000.00,15344000.00,47473000.00,12296000.00,,,21732000.00,,,878452000.00,224298000.00,801103000.00,-149874000.00,2925000.00,,,,,2680944000.00,385000.00,537000.00,,2680792000.00,588260000.00,,,2092532000.00,2092081000.00,,451000.00,,,.3400,.3400,238598000.00,,,2331130000.00,2330679000.00,451000.00,,
2149,601169,XSHG,2014-04-29,2014-03-31,2013-03-31,Q1,3,1,7955960000.00,6396609000.00,13348294000.00,6951685000.00,1346225000.00,1458030000.00,111805000.00,151414000.00,22684000.00,16643000.00,14028000.00,,,31041000.00,,,2705676000.00,553255000.00,1241089000.00,906681000.00,4651000.00,,,,,5250284000.00,27722000.00,4724000.00,,5273282000.00,1142334000.00,,,4130948000.00,4129297000.00,,1651000.00,,,.4700,.4700,339879000.00,,,4470827000.00,4469176000.00,1651000.00,,
2149,601169,XSHG,2016-08-31,2016-06-30,2015-06-30,S1,6,1,21518000000.00,16887000000.00,38772000000.00,21885000000.00,3986000000.00,4192000000.00,206000000.00,423000000.00,115000000.00,4000000.00,161000000.00,,,57000000.00,,,8745000000.00,1443000000.00,4259000000.00,3034000000.00,9000000.00,,,,,12773000000.00,6000000.00,31000000.00,,12748000000.00,2686000000.00,,,10062000000.00,10036000000.00,,26000000.00,,,.6600,.6600,-41000000.00,,,10021000000.00,10021000000.00,,,
2149,601169,XSHG,2012-04-24,2011-12-31,2010-12-31,A,12,1,15635226000.00,14478886000.00,23540141000.00,9061255000.00,964217000.00,1102344000.00,138127000.00,117690000.00,24021000.00,-56927000.00,42202000.00,,,89158000.00,,,7026149000.00,1087645000.00,4738206000.00,1188597000.00,11701000.00,,,,,8609077000.00,19339000.00,27266000.00,,8601150000.00,1795576000.00,,,6805574000.00,6803030000.00,,2544000.00,,,1.0900,1.0900,-695500000.00,,,6110074000.00,6107530000.00,2544000.00,,
2149,601169,XSHG,2016-04-30,2016-03-31,2015-03-31,Q1,3,1,10625000000.00,8242000000.00,19081000000.00,10839000000.00,2030000000.00,2133000000.00,103000000.00,200000000.00,69000000.00,-57000000.00,183000000.00,,,27000000.00,.00,,4322000000.00,729000000.00,1997000000.00,1592000000.00,4000000.00,.00,,,,6303000000.00,1000000.00,19000000.00,,6285000000.00,1286000000.00,,,4999000000.00,4986000000.00,,13000000.00,,,.3900,.3900,-643000000.00,,,4356000000.00,4344000000.00,12000000.00,,
2149,601169,XSHG,2017-10-31,2017-09-30,2017-09-30,Q3,9,1,38814000000.00,29037000000.00,66078000000.00,37041000000.00,9465000000.00,9818000000.00,353000000.00,260000000.00,-31000000.00,26000000.00,-45000000.00,,,71000000.00,,,19501000000.00,490000000.00,9160000000.00,9835000000.00,16000000.00,,,,,19313000000.00,16000000.00,29000000.00,,19300000000.00,3674000000.00,,,15626000000.00,15516000000.00,,110000000.00,,,.8200,.8200,-1049000000.00,,,14577000000.00,14493000000.00,84000000.00,,
2149,601169,XSHG,2017-10-31,2017-09-30,2016-09-30,Q3,9,1,36296000000.00,27662000000.00,56512000000.00,28850000000.00,8082000000.00,8394000000.00,312000000.00,451000000.00,32000000.00,-6000000.00,75000000.00,,,32000000.00,,,17694000000.00,1145000000.00,8654000000.00,7879000000.00,16000000.00,,,,,18602000000.00,32000000.00,67000000.00,,18567000000.00,3531000000.00,,,15036000000.00,14955000000.00,,81000000.00,,,.8200,.8200,-46000000.00,,,14990000000.00,14892000000.00,98000000.00,,
2149,601169,XSHG,2017-08-31,2017-06-30,2017-06-30,S1,6,1,26498000000.00,19049000000.00,42697000000.00,23648000000.00,7218000000.00,7476000000.00,258000000.00,169000000.00,46000000.00,48000000.00,-39000000.00,,,53000000.00,,,12556000000.00,323000000.00,5569000000.00,6653000000.00,11000000.00,,,,,13942000000.00,7000000.00,10000000.00,,13939000000.00,2784000000.00,,,11155000000.00,11079000000.00,,76000000.00,,,.5800,.5800,-934000000.00,,,10221000000.00,10157000000.00,64000000.00,,
2149,601169,XSHG,2017-08-31,2017-06-30,2016-06-30,S1,6,1,24655000000.00,18249000000.00,37653000000.00,19404000000.00,5996000000.00,6205000000.00,209000000.00,387000000.00,18000000.00,-49000000.00,52000000.00,,,20000000.00,,,11412000000.00,1064000000.00,5015000000.00,5325000000.00,8000000.00,,,,,13243000000.00,18000000.00,15000000.00,,13246000000.00,2572000000.00,,,10674000000.00,10621000000.00,,53000000.00,,,.5800,.5800,-368000000.00,,,10306000000.00,10249000000.00,57000000.00,,
2149,601169,XSHG,2011-10-31,2011-09-30,2010-09-30,Q3,9,1,11477824000.00,10412983000.00,16752427000.00,6339444000.00,749823000.00,845467000.00,95644000.00,210991000.00,41454000.00,7889000.00,28346000.00,,,67792000.00,,,3895192000.00,767332000.00,2956933000.00,162151000.00,8776000.00,,,,,7582632000.00,8214000.00,9296000.00,,7581550000.00,1632533000.00,,,5949017000.00,5946632000.00,,2385000.00,,,.9500,.9500,265572000.00,,,6214589000.00,6212204000.00,2385000.00,,
2149,601169,XSHG,2014-10-31,2014-09-30,2013-09-30,Q3,9,1,23172000000.00,19535000000.00,41627000000.00,22092000000.00,3304000000.00,3711000000.00,407000000.00,299000000.00,129000000.00,-85000000.00,69000000.00,,,50000000.00,,,9383000000.00,1650000000.00,5092000000.00,2628000000.00,13000000.00,,,,,13789000000.00,48000000.00,11000000.00,,13826000000.00,2804000000.00,,,11022000000.00,11014000000.00,,7000000.00,,1000000.00,1.0400,1.0400,-1283000000.00,,,9739000000.00,9731000000.00,7000000.00,,1000000.00
2149,601169,XSHG,2013-08-29,2013-06-30,2012-06-30,S1,6,1,13307297000.00,11730308000.00,26336753000.00,14606445000.00,1246634000.00,1349688000.00,103054000.00,228629000.00,39910000.00,9627000.00,40503000.00,,,51596000.00,,,5180225000.00,947429000.00,2588642000.00,1638303000.00,5851000.00,,,,,8127072000.00,7441000.00,5585000.00,,8128928000.00,1724331000.00,,,6404597000.00,6400891000.00,,3706000.00,,,.7900,.7900,492631000.00,,,6897228000.00,6893522000.00,3706000.00,,
2149,601169,XSHG,2011-04-09,2010-12-31,2009-12-31,A,12,1,11894105000.00,10953922000.00,17429597000.00,6475675000.00,650104000.00,759818000.00,109714000.00,372981000.00,43247000.00,-290392000.00,121065000.00,,,86425000.00,,,4739594000.00,925992000.00,3135597000.00,666302000.00,11703000.00,,,,,7154511000.00,26202000.00,18473000.00,,7162240000.00,1529444000.00,,,5632796000.00,5633859000.00,,-1063000.00,,,.9000,.9000,-747697000.00,,,4885099000.00,4886162000.00,-1063000.00,,
2149,601169,XSHG,2015-08-26,2015-06-30,2014-06-30,S1,6,1,18220000000.00,14564000000.00,35895000000.00,21331000000.00,3116000000.00,3290000000.00,174000000.00,144000000.00,69000000.00,209000000.00,96000000.00,,,91000000.00,,,6824000000.00,1306000000.00,3601000000.00,1906000000.00,11000000.00,,,,,11396000000.00,25000000.00,11000000.00,,11410000000.00,2554000000.00,,,8856000000.00,8847000000.00,,9000000.00,,,.7000,.7000,2126000000.00,,,10982000000.00,,,,
2149,601169,XSHG,2018-04-27,2017-12-31,2016-12-31,A,12,1,47456000000.00,37525000000.00,76446000000.00,38921000000.00,9599000000.00,10144000000.00,545000000.00,368000000.00,-382000000.00,-323000000.00,166000000.00,,,121000000.00,,,25125000000.00,1309000000.00,12247000000.00,11547000000.00,22000000.00,,,,,22331000000.00,61000000.00,94000000.00,,22298000000.00,4375000000.00,,,17923000000.00,17802000000.00,,121000000.00,,,.9600,.9600,-1910000000.00,,,16013000000.00,15881000000.00,132000000.00,,
2149,601169,XSHG,2013-10-31,2013-09-30,2012-09-30,Q3,9,1,20361718000.00,18114363000.00,40146392000.00,22032029000.00,1841772000.00,1996056000.00,154284000.00,304324000.00,39155000.00,-50489000.00,72144000.00,,,79604000.00,,,7688770000.00,1428864000.00,4094830000.00,2156300000.00,8776000.00,,,,,12672948000.00,19498000.00,8966000.00,,12683480000.00,2705368000.00,,,9978112000.00,9970916000.00,,7196000.00,,,1.1900,1.1900,-534547000.00,,,9443565000.00,9436369000.00,7196000.00,,
2149,601169,XSHG,2012-04-24,2012-03-31,2011-03-31,Q1,3,1,4652872000.00,4153405000.00,7699254000.00,3545849000.00,427011000.00,466002000.00,38991000.00,21686000.00,3496000.00,13765000.00,11945000.00,,,25060000.00,,,1426397000.00,315724000.00,917193000.00,190555000.00,2925000.00,,,,,3226475000.00,2890000.00,1494000.00,,3227871000.00,706935000.00,,,2520936000.00,2519913000.00,,1023000.00,,,.4000,.4000,35641000.00,,,2556577000.00,2555554000.00,1023000.00,,
2149,601169,XSHG,2014-04-29,2013-12-31,2012-12-31,A,12,1,27816860000.00,24622790000.00,53922242000.00,29299452000.00,2672491000.00,2904086000.00,231595000.00,357920000.00,1993000.00,-41461000.00,93871000.00,,,111249000.00,,,13062066000.00,1951633000.00,7171039000.00,3927693000.00,11701000.00,,,,,14754794000.00,37472000.00,22731000.00,,14769535000.00,3085681000.00,,,11683854000.00,11674808000.00,,9046000.00,,,1.3800,1.3800,-665813000.00,,,11018041000.00,11008995000.00,9046000.00,,
2149,601169,XSHG,2018-04-27,2018-03-31,2018-03-31,Q1,3,1,13716000000.00,10362000000.00,25162000000.00,14800000000.00,3065000000.00,3181000000.00,116000000.00,128000000.00,62000000.00,112000000.00,27000000.00,,,22000000.00,,,6766000000.00,154000000.00,3146000000.00,3462000000.00,4000000.00,,,,,6950000000.00,17000000.00,5000000.00,,6962000000.00,1151000000.00,,,5811000000.00,5785000000.00,,26000000.00,,,.2700,.2700,881000000.00,,,6692000000.00,6663000000.00,29000000.00,,
2149,601169,XSHG,2018-04-27,2018-03-31,2017-03-31,Q1,3,1,13606000000.00,9440000000.00,20529000000.00,11089000000.00,4032000000.00,4142000000.00,110000000.00,116000000.00,-25000000.00,-35000000.00,39000000.00,,,14000000.00,,,6803000000.00,142000000.00,2895000000.00,3761000000.00,5000000.00,,,,,6803000000.00,5000000.00,5000000.00,,6803000000.00,1322000000.00,,,5481000000.00,5445000000.00,,36000000.00,,,.3000,.3000,-659000000.00,,,4822000000.00,4790000000.00,32000000.00,,
2149,601169,XSHG,2013-04-26,2012-12-31,2011-12-31,A,12,1,20727734000.00,18771982000.00,37765697000.00,18993715000.00,1612730000.00,1783174000.00,170444000.00,176303000.00,-61050000.00,10820000.00,51499000.00,,,104400000.00,,,9377159000.00,1479276000.00,5460843000.00,2425339000.00,11701000.00,,,,,11350575000.00,63683000.00,16776000.00,,11397482000.00,2451497000.00,,,8945985000.00,8946703000.00,,-718000.00,,,1.2000,1.2000,235807000.00,,,9181792000.00,9182510000.00,-718000.00,,
2149,601169,XSHG,2012-08-29,2012-06-30,2011-06-30,S1,6,1,9746808000.00,8669627000.00,16238791000.00,7569164000.00,893648000.00,973478000.00,79830000.00,132296000.00,11155000.00,-33930000.00,34804000.00,,,50363000.00,,,3149922000.00,676332000.00,2241431000.00,226308000.00,5851000.00,,,,,6596886000.00,5282000.00,6486000.00,,6595682000.00,1496213000.00,,,5099469000.00,5099821000.00,,-352000.00,,,.6800,.6800,-301489000.00,,,4797980000.00,4798332000.00,-352000.00,,
603,600000,XSHG,2015-03-19,2014-12-31,2013-12-31,A,12,1,100015000000.00,85177000000.00,177804000000.00,92627000000.00,13904000000.00,14573000000.00,669000000.00,820000000.00,106000000.00,-1565000000.00,767000000.00,,,912000000.00,,,46492000000.00,6813000000.00,25830000000.00,13074000000.00,775000000.00,,,,,53523000000.00,444000000.00,118000000.00,,53849000000.00,12649000000.00,,,41200000000.00,40922000000.00,,278000000.00,,,2.1940,2.1940,-3835000000.00,,,37365000000.00,37087000000.00,278000000.00,,
603,600000,XSHG,2013-04-27,2013-03-31,2012-03-31,Q1,3,1,19909000000.00,17830000000.00,37256000000.00,19426000000.00,1840000000.00,1991000000.00,151000000.00,-2000000.00,33000000.00,15000000.00,201000000.00,,,25000000.00,,,9603000000.00,1513000000.00,6375000000.00,1666000000.00,49000000.00,,,,,10306000000.00,17000000.00,5000000.00,,10318000000.00,2386000000.00,,,7932000000.00,7894000000.00,,38000000.00,,,.4230,.4230,271000000.00,,,8203000000.00,8165000000.00,38000000.00,,
