chi,eng
其中子公司吸收少数股东投资收到的现金,c_fr_mino_s_subs
取得借款收到的现金,c_fr_borr
发行债券收到的现金,c_fr_issue_bond
收到其他与筹资活动有关的现金,c_fr_oth_finan_a
筹资活动现金流入特殊项目,spec_fcif
筹资活动现金流入调整项目,afcif
筹资活动现金流入小计,c_inf_fr_finan_a
偿还债务支付的现金,c_paid_for_debts
分配股利利润或偿付利息支付的现金,c_paid_div_prof_int
其中子公司支付给少数股东的股利利润,div_prof_subs_mino_s
支付其他与筹资活动有关的现金,c_paid_oth_finan_a
筹资活动现金流出特殊项目,spec_fcof
筹资活动现金流出调整项目,afcof
筹资活动现金流出小计,c_outf_fr_finan_a
筹资活动流量现金净额调整项目,anfcf
筹资活动产生的现金流量净额,n_cf_fr_finan_a
汇率变动对现金及现金等价物的影响,forex_effects
影响现金及现金等价物净增加额的特殊项目,oth_effect_ce
影响现金及现金等价物的调整项目,ace
现金及现金等价物净增加额,n_change_in_cash
加期初现金及现金等价物余额,n_ce_beg_bal
现金及现金等价物净增加额的特殊项目,oth_effect_cei
现金及现金等价物净增加额的调整项目,acei
期末现金及现金等价物余额,n_ce_end_bal
,hb
,tb
,hb_abs
,tb_abs
100,tb100
200,tb200
300,tb300
